covidence#,author,year,country,location,latitude,longitude,climate,Experiment_T ,mat (°C),map (mm),season_exposure,day_exposure,soil,type,ph,om,om_units,oc,oc_units,texture,clay,clay_units,sand,sand_units,ec( dsm-1),ec_units,cec,cec_units,N,N_units,N_types,P,P_units,P_types,as_s,cd_s,cu_s,pb_s,zn_s,se_s,ni_s,co_s,mn_s,cr_s,hg_s,units_s,n_s,fraction_s,Bioavailable,sp,name,cultivar,p_density (ind./m2 or pots),ba_total,ba_stem,ba_leaf,br,br_coarse,br_fine,br_stump,units_b,as_ba,cd_ba,cu_ba,pb_ba,zn_ba,se_ba,ni_ba,co_ba,mn_ba,cr_ba,hg_ba,units_te_ba,n_te_ba,organs_ba,as_br,cd_br,cu_br,pb_br,zn_br,se_br,ni_br,co_br,mn_br,cr_br,hg_br,units_te_br,n_te_br,organs_br,as_br,cd_br,cu_br,pb_br,zn_br,se_br,ni_br,co_br,mn_br,cr_br,hg_br,units_te_br,n_te_br,organs_br,as_br,cd_br,cu_br,pb_br,zn_br,se_br,ni_br,co_br,mn_br,cr_br,hg_br,units_te_br,n_te_br,organs_br,as_br,cd_br,cu_br,pb_br,zn_br,se_br,ni_br,co_br,mn_br,cr_br,hg_br,units_te_br,n_te_br,organs_br,as_ba,cd_ba,cu_ba,pb_ba,zn_ba,se_ba,ni_ba,co_ba,mn_ba,cr_ba,hg_ba,units_te_ba,n_te_ba,organs_ba,as_ba,cd_ba,cu_ba,pb_ba,zn_ba,se_ba,ni_ba,co_ba,mn_ba,cr_ba,hg_ba,units_te_ba,n_te_ba,organs_ba,comments
2560,Granel,2002,New Zealand,Palmerston North,40.2°S,175.4°E,,,,,,90,,,5.7,,,63,g/kg,fine sandy loam,,,,,,,13.4,cmolc/kg,,,,,,,,0.3,,,64,,,,597,,,mg kg?1,,total,,12,Salix matsudana x Salix alba,clone 4,1 ind/pot,39.99203216,,,,,,,g,,1.839602996,,,117.9800078,,,,95.99585268,,,mg kg?1,3,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2560,Granel,2002,New Zealand,Palmerston North,40.2°S,175.4°E,,,,,,90,,,5.7,,,63,g/kg,fine sandy loam,,,,,,,13.4,cmolc/kg,,,,,,,,0.3,,,64,,,,597,,,mg kg?1,,total,,13,Salix babylonica x Salix alba,clone 1,1 ind/pot,69.46340436,,,,,,,g,,1.927887679,,,96.66068185,,,,107.2925466,,,mg kg?1,3,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2560,Granel,2002,New Zealand,Palmerston North,40.2°S,175.4°E,,,,,,90,,,5.7,,,63,g/kg,fine sandy loam,,,,,,,13.4,cmolc/kg,,,,,,,,0.3,,,64,,,,597,,,mg kg?1,,total,,14,Salix babylonica x Salix alba,clone 2,1 ind/pot,52.92405784,,,,,,,g,,1.56694445,,,104.1931112,,,,99.77828044,,,mg kg?1,3,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2560,Granel,2002,New Zealand,Palmerston North,40.2°S,175.4°E,,,,,,90,,,5.7,,,63,g/kg,fine sandy loam,,,,,,,13.4,cmolc/kg,,,,,,,,0.3,,,64,,,,597,,,mg kg?1,,total,,15,Salix fragilis,,1 ind/pot,53.73457837,,,,,,,g,,6.765966693,,,210.9833892,,,,472.4418313,,,mg kg?1,3,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3089,Harada,2011,Japan,Hokkaido,42°N,140°E,,,,,,,,,4.82,,,,,,,,,,,,19.3,cmolc kg-1,,,,,,,,1.0,95.3,100.0,484.2,,,,,,,mg kg?1,6,total,,,Salix miyabeana, subsp. miyabeana,,,,,,,,,,,11.4,9.4,5.9,1571.3,,,,,,,mg kg?1,6,leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8913,Cicek,2004,Turkey,Tavsanli District,,, transfer-featured climate between continental climate and temperate climate,,10.6,564.6,,,1,,7.60,3.18,%,,,Clay sand silt,,,,,,,,,,,,,,,,14.615384615384617,194.1176470588235,322.64150943396226,469.1803278688525,,364.5901639344262,,,196.30872483221478,,mg kg?1,,total,,,Salix alba,,,,,,,,,,,,6.5642446046063165,22.142846243722097,48.364468213929214,159.344262295082,,61.53847202359925,,,94.39024038955911,,mg kg?1,,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8913,Cicek,2004,Turkey,Tavsanli District,,, transfer-featured climate between continental climate and temperate climate,,10.6,564.6,,,2,,7.60,3.18,%,,,Clay sand silt,,,,,,,,,,,,,,,,17.403846153846153,210.7843137254902,301.4150943396226,510.49180327868856,,372.4590163934426,,,213.42281879194633,,mg kg?1,,total,,,Salix alba,,,,,,,,,,,,7.192736211324164,28.571417672293524,54.67287920397895,118.03278688524591,,60.54593141269493,,,94.39024038955911,,mg kg?1,,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8913,Cicek,2004,Turkey,Tavsanli District,,, transfer-featured climate between continental climate and temperate climate,,10.6,564.6,,,3,,7.60,3.18,%,,,Clay sand silt,,,,,,,,,,,,,,,,20.384615384615387,262.7450980392157,380.66037735849056,784.9180327868853,,369.83606557377044,,,277.8523489932886,,mg kg?1,,total,,,Salix alba,,,,,,,,,,,,6.983239009084882,58.57141767229353,48.364468213929214,221.31147540983608,,62.53101263450356,,,105.36584973718226,,mg kg?1,,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8913,Cicek,2004,Turkey,Tavsanli District,,, transfer-featured climate between continental climate and temperate climate,,10.6,564.6,,,4,,7.60,3.18,%,,,Clay sand silt,,,,,,,,,,,,,,,,21.826923076923077,254.9019607843137,401.88679245283015,705.2459016393443,,314.7540983606557,,,244.6308724832215,,mg kg?1,,total,,,Salix alba,,,,,,,,,,,,4.399441247024935,49.99998910086495,45.210262718904346,203.6065573770492,,33.74692599790769,,,96.58536225908374,,mg kg?1,,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8913,Cicek,2004,Turkey,Tavsanli District,,, transfer-featured climate between continental climate and temperate climate,,10.6,564.6,,,5,,7.60,3.18,%,,,Clay sand silt,,,,,,,,,,,,,,,,10.192307692307693,168.62745098039215,161.32075471698113,365.9016393442623,,246.5573770491803,,,114.76510067114096,,mg kg?1,,total,,,Salix alba,,,,,,,,,,,,2.863129496161402,25.000010899135045,38.90185172885461,35.40983606557377,,25.806464803882925,,,52.68292486859113,,mg kg?1,,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8913,Cicek,2004,Turkey,Tavsanli District,,, transfer-featured climate between continental climate and temperate climate,,10.6,564.6,,,6,,7.60,3.18,%,,,Clay sand silt,,,,,,,,,,,,,,,,4.230769230769231,26.470588235294116,59.43396226415094,76.72131147540983,,72.1311475409836,,,48.322147651006716,,mg kg?1,,total,,,Salix alba,,,,,,,,,,,,0.20949720223928264,7.857153756277902,8.411230696518418,8.852459016393443,,18.85858965635922,,,6.585365608573891,,mg kg?1,,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8913,Cicek,2004,Turkey,Tavsanli District,,, transfer-featured climate between continental climate and temperate climate,,10.6,564.6,,,7,,7.60,3.18,%,,,Clay sand silt,,,,,,,,,,,,,,,,1.5384615384615385,12.745098039215685,15.566037735849056,20.655737704918035,,20.983606557377048,,,32.214765100671144,,mg kg?1,,total,,,Salix alba,,,,,,,,,,,,0.1396658670507278,2.8571319580078125,0,5.901639344262295,,5.955334536619387,,,6.585365608573891,,mg kg?1,,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8913,Cicek,2004,Turkey,Tavsanli District,,, transfer-featured climate between continental climate and temperate climate,,10.6,564.6,,,1,,7.60,3.18,%,,,Clay sand silt,,,,,,,,,,,,,,,,14.615384615384617,194.1176470588235,322.64150943396226,469.1803278688525,,364.5901639344262,,,196.30872483221478,,mg kg?1,,total,,,Populus tremula,,,,,,,,,,,,6.494413269417762,22.142846243722097,50.467287920397894,159.344262295082,,58.56080475528955,,,98.04878800373402,,mg kg?1,,leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
