covidence	author	year	country	location	latitude	longitude	climate	Experiment_T	mat..C.	map..mm.	season_exposure	day_exposure	soil	type	ph	om	om_units	oc	oc_units	texture	clay	clay_units	sand	sand_units	ec..dsm.1.	ec_units	cec	cec_units	N	N_units	N_types	P	P_units	P_types	as_s	cd_s	cu_s	pb_s	zn_s	se_s	ni_s	co_s	mn_s	cr_s	hg_s	units_s	n_s	fraction_s	Bioavailable	sp	name	cultivar	p_density..ind..m2.or.pots.	ba_total	ba_stem	ba_leaf	br	units_b	as_ba	cd_ba	cu_ba	pb_ba	zn_ba	se_ba	ni_ba	co_ba	mn_ba	cr_ba	hg_ba	units_te_ba	n_te_ba	organs_ba	as_br	cd_br	cu_br	pb_br	zn_br	se_br	ni_br	co_br	mn_br	cr_br	hg_br	units_te_br	n_te_br	organs_br	as_ba.1	cd_ba.1	cu_ba.1	pb_ba.1	zn_ba.1	se_ba.1	ni_ba.1	co_ba.1	mn_ba.1	cr_ba.1	hg_ba.1	units_te_ba.1	n_te_ba.1	organs_ba.1	as_ba.2	cd_ba.2	cu_ba.2	pb_ba.2	zn_ba.2	se_ba.2	ni_ba.2	co_ba.2	mn_ba.2	cr_ba.2	hg_ba.2	units_te_ba.2	n_te_ba.2	organs_ba.2	comments	AccSpeciesName_cor
2560	Granel	2002	New Zealand	Palmerston North	40.2 S	175.4 E	NA	NA	NA	NA	NA	90	NA	NA	5.7	NA	NA	6.3	%	Sandy loam	10	%	60	%	NA	NA	13.4	cmolc kg-1	NA	NA	NA	NA	NA	NA	NA	0.3	NA	NA	64	NA	NA	NA	597	NA	NA	mg kg-1	NA	total	NA	8	Salix triandra	NA	1 ind/pot	64.88281349	NA	NA	NA	g	NA	2.874348923	NA	NA	122.4356065	NA	NA	NA	592.8239872	NA	NA	mg kg-1	3	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix triandra
2560	Granel	2002	New Zealand	Palmerston North	40.2 S	175.4 E	NA	NA	NA	NA	NA	90	NA	NA	5.7	NA	NA	6.3	%	Sandy loam	10	%	60	%	NA	NA	13.4	cmolc kg-1	NA	NA	NA	NA	NA	NA	NA	0.3	NA	NA	64	NA	NA	NA	597	NA	NA	mg kg-1	NA	total	NA	9	Salix matsudana x Salix alba	clone 1	1 ind/pot	68.03329308	NA	NA	NA	g	NA	2.228472697	NA	NA	155.372706	NA	NA	NA	108.1275208	NA	NA	mg kg-1	3	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix matsudana x Salix alba
2560	Granel	2002	New Zealand	Palmerston North	40.2 S	175.4 E	NA	NA	NA	NA	NA	90	NA	NA	5.7	NA	NA	6.3	%	Sandy loam	10	%	60	%	NA	NA	13.4	cmolc kg-1	NA	NA	NA	NA	NA	NA	NA	0.3	NA	NA	64	NA	NA	NA	597	NA	NA	mg kg-1	NA	total	NA	10	Salix matsudana x Salix alba	clone 2	1 ind/pot	64.66624516	NA	NA	NA	g	NA	5.429663635	NA	NA	187.0241065	NA	NA	NA	158.2197069	NA	NA	mg kg-1	3	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix matsudana x Salix alba
2560	Granel	2002	New Zealand	Palmerston North	40.2 S	175.4 E	NA	NA	NA	NA	NA	90	NA	NA	5.7	NA	NA	6.3	%	Sandy loam	10	%	60	%	NA	NA	13.4	cmolc kg-1	NA	NA	NA	NA	NA	NA	NA	0.3	NA	NA	64	NA	NA	NA	597	NA	NA	mg kg-1	NA	total	NA	11	Salix matsudana x Salix alba	clone 3	1 ind/pot	75.09687736	NA	NA	NA	g	NA	1.708963511	NA	NA	124.6358833	NA	NA	NA	78.17213546	NA	NA	mg kg-1	3	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix matsudana x Salix alba
2560	Granel	2002	New Zealand	Palmerston North	40.2 S	175.4 E	NA	NA	NA	NA	NA	90	NA	NA	5.7	NA	NA	6.3	%	Sandy loam	10	%	60	%	NA	NA	13.4	cmolc kg-1	NA	NA	NA	NA	NA	NA	NA	0.3	NA	NA	64	NA	NA	NA	597	NA	NA	mg kg-1	NA	total	NA	12	Salix matsudana x Salix alba	clone 4	1 ind/pot	39.99203216	NA	NA	NA	g	NA	1.839602996	NA	NA	117.9800078	NA	NA	NA	95.99585268	NA	NA	mg kg-1	3	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix matsudana x Salix alba
2560	Granel	2002	New Zealand	Palmerston North	40.2 S	175.4 E	NA	NA	NA	NA	NA	90	NA	NA	5.7	NA	NA	6.3	%	Sandy loam	10	%	60	%	NA	NA	13.4	cmolc kg-1	NA	NA	NA	NA	NA	NA	NA	0.3	NA	NA	64	NA	NA	NA	597	NA	NA	mg kg-1	NA	total	NA	13	Salix babylonica x Salix alba	clone 1	1 ind/pot	69.46340436	NA	NA	NA	g	NA	1.927887679	NA	NA	96.66068185	NA	NA	NA	107.2925466	NA	NA	mg kg-1	3	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix babylonica x Salix alba
2560	Granel	2002	New Zealand	Palmerston North	40.2 S	175.4 E	NA	NA	NA	NA	NA	90	NA	NA	5.7	NA	NA	6.3	%	Sandy loam	10	%	60	%	NA	NA	13.4	cmolc kg-1	NA	NA	NA	NA	NA	NA	NA	0.3	NA	NA	64	NA	NA	NA	597	NA	NA	mg kg-1	NA	total	NA	14	Salix babylonica x Salix alba	clone 2	1 ind/pot	52.92405784	NA	NA	NA	g	NA	1.56694445	NA	NA	104.1931112	NA	NA	NA	99.77828044	NA	NA	mg kg-1	3	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix babylonica x Salix alba
2560	Granel	2002	New Zealand	Palmerston North	40.2 S	175.4 E	NA	NA	NA	NA	NA	90	NA	NA	5.7	NA	NA	6.3	%	Sandy loam	10	%	60	%	NA	NA	13.4	cmolc kg-1	NA	NA	NA	NA	NA	NA	NA	0.3	NA	NA	64	NA	NA	NA	597	NA	NA	mg kg-1	NA	total	NA	15	Salix fragilis	NA	1 ind/pot	53.73457837	NA	NA	NA	g	NA	6.765966693	NA	NA	210.9833892	NA	NA	NA	472.4418313	NA	NA	mg kg-1	3	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix fragilis
3089	Harada	2011	Japan	Hokkaido	42 N	140 E	NA	NA	NA	NA	NA	NA	NA	NA	4.82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.3	cmolc kg-1	NA	NA	NA	NA	NA	NA	NA	1	95.3	100	484.2	NA	NA	NA	NA	NA	NA	mg kg-1	6	total	NA	NA	Salix miyabeana	 subsp. miyabeana	NA	NA	NA	NA	NA	NA	NA	11.4	9.4	5.9	1571.3	NA	NA	NA	NA	NA	NA	mg kg-1	6	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix miyabeana
8913	Cicek	2004	Turkey	Tavsanli District	NA	NA	transfer-featured climate between continental climate and temperate climate	NA	10.6	564.6	NA	NA	1	NA	7.6	3.18	%	NA	NA	Clay	70	%	22.5	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.61538462	194.1176471	322.6415094	469.1803279	NA	364.5901639	NA	NA	196.3087248	NA	mg kg-1	NA	total	NA	NA	Salix alba	NA	NA	NA	NA	NA	NA	NA	NA	6.564244605	22.14284624	48.36446821	159.3442623	NA	61.53847202	NA	NA	94.39024039	NA	mg kg-1	NA	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix alba
