covidence	author	year	country	location	latitude	longitude	climate	Experiment_T	mat..C.	map..mm.	season_exposure	day_exposure	soil	type	ph	om	om_units	oc	oc_units	texture	clay	clay_units	sand	sand_units	ec..dsm.1.	ec_units	cec	cec_units	N	N_units	N_types	P	P_units	P_types	as_s	cd_s	cu_s	pb_s	zn_s	se_s	ni_s	co_s	mn_s	cr_s	hg_s	units_s	n_s	fraction_s	Bioavailable	sp	name	cultivar	p_density..ind..m2.or.pots.	ba_total	ba_stem	ba_leaf	br	units_b	as_ba	cd_ba	cu_ba	pb_ba	zn_ba	se_ba	ni_ba	co_ba	mn_ba	cr_ba	hg_ba	units_te_ba	n_te_ba	organs_ba	as_br	cd_br	cu_br	pb_br	zn_br	se_br	ni_br	co_br	mn_br	cr_br	hg_br	units_te_br	n_te_br	organs_br	as_ba.1	cd_ba.1	cu_ba.1	pb_ba.1	zn_ba.1	se_ba.1	ni_ba.1	co_ba.1	mn_ba.1	cr_ba.1	hg_ba.1	units_te_ba.1	n_te_ba.1	organs_ba.1	as_ba.2	cd_ba.2	cu_ba.2	pb_ba.2	zn_ba.2	se_ba.2	ni_ba.2	co_ba.2	mn_ba.2	cr_ba.2	hg_ba.2	units_te_ba.2	n_te_ba.2	organs_ba.2	comments	AccSpeciesName_cor
8913	Cicek	2004	Turkey	Tavsanli District	NA	NA	transfer-featured climate between continental climate and temperate climate	NA	10.6	564.6	NA	NA	2	NA	7.6	3.18	%	NA	NA	Clay	70	%	22.5	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.40384615	210.7843137	301.4150943	510.4918033	NA	372.4590164	NA	NA	213.4228188	NA	mg kg-1	NA	total	NA	NA	Salix alba	NA	NA	NA	NA	NA	NA	NA	NA	7.192736211	28.57141767	54.6728792	118.0327869	NA	60.54593141	NA	NA	94.39024039	NA	mg kg-1	NA	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix alba
8913	Cicek	2004	Turkey	Tavsanli District	NA	NA	transfer-featured climate between continental climate and temperate climate	NA	10.6	564.6	NA	NA	3	NA	7.6	3.18	%	NA	NA	Clay	70	%	22.5	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.38461538	262.745098	380.6603774	784.9180328	NA	369.8360656	NA	NA	277.852349	NA	mg kg-1	NA	total	NA	NA	Salix alba	NA	NA	NA	NA	NA	NA	NA	NA	6.983239009	58.57141767	48.36446821	221.3114754	NA	62.53101263	NA	NA	105.3658497	NA	mg kg-1	NA	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix alba
8913	Cicek	2004	Turkey	Tavsanli District	NA	NA	transfer-featured climate between continental climate and temperate climate	NA	10.6	564.6	NA	NA	4	NA	7.6	3.18	%	NA	NA	Clay	70	%	22.5	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.82692308	254.9019608	401.8867925	705.2459016	NA	314.7540984	NA	NA	244.6308725	NA	mg kg-1	NA	total	NA	NA	Salix alba	NA	NA	NA	NA	NA	NA	NA	NA	4.399441247	49.9999891	45.21026272	203.6065574	NA	33.746926	NA	NA	96.58536226	NA	mg kg-1	NA	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix alba
8913	Cicek	2004	Turkey	Tavsanli District	NA	NA	transfer-featured climate between continental climate and temperate climate	NA	10.6	564.6	NA	NA	5	NA	7.6	3.18	%	NA	NA	Clay	70	%	22.5	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.19230769	168.627451	161.3207547	365.9016393	NA	246.557377	NA	NA	114.7651007	NA	mg kg-1	NA	total	NA	NA	Salix alba	NA	NA	NA	NA	NA	NA	NA	NA	2.863129496	25.0000109	38.90185173	35.40983607	NA	25.8064648	NA	NA	52.68292487	NA	mg kg-1	NA	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix alba
8913	Cicek	2004	Turkey	Tavsanli District	NA	NA	transfer-featured climate between continental climate and temperate climate	NA	10.6	564.6	NA	NA	6	NA	7.6	3.18	%	NA	NA	Clay	70	%	22.5	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.230769231	26.47058824	59.43396226	76.72131148	NA	72.13114754	NA	NA	48.32214765	NA	mg kg-1	NA	total	NA	NA	Salix alba	NA	NA	NA	NA	NA	NA	NA	NA	0.209497202	7.857153756	8.411230697	8.852459016	NA	18.85858966	NA	NA	6.585365609	NA	mg kg-1	NA	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix alba
8913	Cicek	2004	Turkey	Tavsanli District	NA	NA	transfer-featured climate between continental climate and temperate climate	NA	10.6	564.6	NA	NA	7	NA	7.6	3.18	%	NA	NA	Clay	70	%	22.5	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.538461538	12.74509804	15.56603774	20.6557377	NA	20.98360656	NA	NA	32.2147651	NA	mg kg-1	NA	total	NA	NA	Salix alba	NA	NA	NA	NA	NA	NA	NA	NA	0.139665867	2.857131958	0	5.901639344	NA	5.955334537	NA	NA	6.585365609	NA	mg kg-1	NA	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix alba
8913	Cicek	2004	Turkey	Tavsanli District	NA	NA	transfer-featured climate between continental climate and temperate climate	NA	10.6	564.6	NA	NA	1	NA	7.6	3.18	%	NA	NA	Clay	70	%	22.5	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.61538462	194.1176471	322.6415094	469.1803279	NA	364.5901639	NA	NA	196.3087248	NA	mg kg-1	NA	total	NA	NA	Populus tremula	NA	NA	NA	NA	NA	NA	NA	NA	6.494413269	22.14284624	50.46728792	159.3442623	NA	58.56080476	NA	NA	98.048788	NA	mg kg-1	NA	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Populus tremula
8913	Cicek	2004	Turkey	Tavsanli District	NA	NA	transfer-featured climate between continental climate and temperate climate	NA	10.6	564.6	NA	NA	2	NA	7.6	3.18	%	NA	NA	Clay	70	%	22.5	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.40384615	210.7843137	301.4150943	510.4918033	NA	372.4590164	NA	NA	213.4228188	NA	mg kg-1	NA	total	NA	NA	Populus tremula	NA	NA	NA	NA	NA	NA	NA	NA	6.564244605	27.14286804	52.57010763	118.0327869	NA	67.49380656	NA	NA	95.85366613	NA	mg kg-1	NA	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Populus tremula
8913	Cicek	2004	Turkey	Tavsanli District	NA	NA	transfer-featured climate between continental climate and temperate climate	NA	10.6	564.6	NA	NA	3	NA	7.6	3.18	%	NA	NA	Clay	70	%	22.5	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.38461538	262.745098	380.6603774	784.9180328	NA	369.8360656	NA	NA	277.852349	NA	mg kg-1	NA	total	NA	NA	Populus tremula	NA	NA	NA	NA	NA	NA	NA	NA	6.634079136	54.28570339	49.41590213	215.4098361	NA	82.3821429	NA	NA	105.3658497	NA	mg kg-1	NA	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Populus tremula
8913	Cicek	2004	Turkey	Tavsanli District	NA	NA	transfer-featured climate between continental climate and temperate climate	NA	10.6	564.6	NA	NA	4	NA	7.6	3.18	%	NA	NA	Clay	70	%	22.5	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.82692308	254.9019608	401.8867925	705.2459016	NA	314.7540984	NA	NA	244.6308725	NA	mg kg-1	NA	total	NA	NA	Populus tremula	NA	NA	NA	NA	NA	NA	NA	NA	3.701118305	37.85715376	49.41590213	203.6065574	NA	38.70967449	NA	NA	84.14632717	NA	mg kg-1	NA	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Populus tremula
8913	Cicek	2004	Turkey	Tavsanli District	NA	NA	transfer-featured climate between continental climate and temperate climate	NA	10.6	564.6	NA	NA	5	NA	7.6	3.18	%	NA	NA	Clay	70	%	22.5	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.19230769	168.627451	161.3207547	365.9016393	NA	246.557377	NA	NA	114.7651007	NA	mg kg-1	NA	total	NA	NA	Populus tremula	NA	NA	NA	NA	NA	NA	NA	NA	2.37430056	24.28570339	39.95328565	35.40983607	NA	19.85113027	NA	NA	46.09755926	NA	mg kg-1	NA	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Populus tremula
8913	Cicek	2004	Turkey	Tavsanli District	NA	NA	transfer-featured climate between continental climate and temperate climate	NA	10.6	564.6	NA	NA	6	NA	7.6	3.18	%	NA	NA	Clay	70	%	22.5	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.230769231	26.47058824	59.43396226	76.72131148	NA	72.13114754	NA	NA	48.32214765	NA	mg kg-1	NA	total	NA	NA	Populus tremula	NA	NA	NA	NA	NA	NA	NA	NA	0.139665867	8.571428571	15.77102748	5.901639344	NA	17.86600361	NA	NA	7.317061733	NA	mg kg-1	NA	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Populus tremula
8913	Cicek	2004	Turkey	Tavsanli District	NA	NA	transfer-featured climate between continental climate and temperate climate	NA	10.6	564.6	NA	NA	7	NA	7.6	3.18	%	NA	NA	Clay	70	%	22.5	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.538461538	12.74509804	15.56603774	20.6557377	NA	20.98360656	NA	NA	32.2147651	NA	mg kg-1	NA	total	NA	NA	Populus tremula	NA	NA	NA	NA	NA	NA	NA	NA	0.209497202	3.571439471	0	2.950819672	NA	5.955334537	NA	NA	3.658547614	NA	mg kg-1	NA	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Populus tremula
8913	Cicek	2004	Turkey	Tavsanli District	NA	NA	transfer-featured climate between continental climate and temperate climate	NA	10.6	564.6	NA	NA	1	NA	7.6	3.18	%	NA	NA	Clay	70	%	22.5	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.61538462	194.1176471	322.6415094	469.1803279	NA	364.5901639	NA	NA	196.3087248	NA	mg kg-1	NA	total	NA	NA	Pinus nigra	ssp. pallasiana	NA	NA	NA	NA	NA	NA	NA	5.796090328	20.71429661	47.31308243	120.9836066	NA	34.73946661	NA	NA	88.53657091	NA	mg kg-1	NA	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pinus nigra
8913	Cicek	2004	Turkey	Tavsanli District	NA	NA	transfer-featured climate between continental climate and temperate climate	NA	10.6	564.6	NA	NA	2	NA	7.6	3.18	%	NA	NA	Clay	70	%	22.5	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.40384615	210.7843137	301.4150943	510.4918033	NA	372.4590164	NA	NA	213.4228188	NA	mg kg-1	NA	total	NA	NA	Pinus nigra	ssp. pallasiana	NA	NA	NA	NA	NA	NA	NA	5.796090328	22.85715376	48.36446821	115.0819672	NA	46.65013568	NA	NA	92.19511852	NA	mg kg-1	NA	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pinus nigra
8913	Cicek	2004	Turkey	Tavsanli District	NA	NA	transfer-featured climate between continental climate and temperate climate	NA	10.6	564.6	NA	NA	3	NA	7.6	3.18	%	NA	NA	Clay	70	%	22.5	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.38461538	262.745098	380.6603774	784.9180328	NA	369.8360656	NA	NA	277.852349	NA	mg kg-1	NA	total	NA	NA	Pinus nigra	ssp. pallasiana	NA	NA	NA	NA	NA	NA	NA	5.516758593	42.14286804	45.21026272	188.852459	NA	44.66500902	NA	NA	84.14632717	NA	mg kg-1	NA	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pinus nigra
8913	Cicek	2004	Turkey	Tavsanli District	NA	NA	transfer-featured climate between continental climate and temperate climate	NA	10.6	564.6	NA	NA	4	NA	7.6	3.18	%	NA	NA	Clay	70	%	22.5	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.82692308	254.9019608	401.8867925	705.2459016	NA	314.7540984	NA	NA	244.6308725	NA	mg kg-1	NA	total	NA	NA	Pinus nigra	ssp. pallasiana	NA	NA	NA	NA	NA	NA	NA	3.351955236	30	42.05605722	182.9508197	NA	29.77667268	NA	NA	76.82926543	NA	mg kg-1	NA	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pinus nigra
8913	Cicek	2004	Turkey	Tavsanli District	NA	NA	transfer-featured climate between continental climate and temperate climate	NA	10.6	564.6	NA	NA	5	NA	7.6	3.18	%	NA	NA	Clay	70	%	22.5	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.19230769	168.627451	161.3207547	365.9016393	NA	246.557377	NA	NA	114.7651007	NA	mg kg-1	NA	total	NA	NA	Pinus nigra	ssp. pallasiana	NA	NA	NA	NA	NA	NA	NA	2.025140687	21.42857143	18.92523297	32.45901639	NA	13.89579573	NA	NA	27.07315856	NA	mg kg-1	NA	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pinus nigra
8913	Cicek	2004	Turkey	Tavsanli District	NA	NA	transfer-featured climate between continental climate and temperate climate	NA	10.6	564.6	NA	NA	6	NA	7.6	3.18	%	NA	NA	Clay	70	%	22.5	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.230769231	26.47058824	59.43396226	76.72131148	NA	72.13114754	NA	NA	48.32214765	NA	mg kg-1	NA	total	NA	NA	Pinus nigra	ssp. pallasiana	NA	NA	NA	NA	NA	NA	NA	0	4.999989101	8.411230697	2.950819672	NA	1.985126657	NA	NA	2.926817994	NA	mg kg-1	NA	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pinus nigra
8913	Cicek	2004	Turkey	Tavsanli District	NA	NA	transfer-featured climate between continental climate and temperate climate	NA	10.6	564.6	NA	NA	7	NA	7.6	3.18	%	NA	NA	Clay	70	%	22.5	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.538461538	12.74509804	15.56603774	20.6557377	NA	20.98360656	NA	NA	32.2147651	NA	mg kg-1	NA	total	NA	NA	Pinus nigra	ssp. pallasiana	NA	NA	NA	NA	NA	NA	NA	0	3.571439471	0	2.950819672	NA	1.985126657	NA	NA	2.19512187	NA	mg kg-1	NA	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pinus nigra
8913	Cicek	2004	Turkey	Tavsanli District	NA	NA	transfer-featured climate between continental climate and temperate climate	NA	10.6	564.6	NA	NA	1	NA	7.6	3.18	%	NA	NA	Clay	70	%	22.5	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.61538462	194.1176471	322.6415094	469.1803279	NA	364.5901639	NA	NA	196.3087248	NA	mg kg-1	NA	total	NA	NA	Robinia pseudoacacia	NA	NA	NA	NA	NA	NA	NA	NA	6.773741807	22.14284624	50.46728792	159.3442623	NA	56.5756781	NA	NA	96.58536226	NA	mg kg-1	NA	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Robinia pseudoacacia
8913	Cicek	2004	Turkey	Tavsanli District	NA	NA	transfer-featured climate between continental climate and temperate climate	NA	10.6	564.6	NA	NA	2	NA	7.6	3.18	%	NA	NA	Clay	70	%	22.5	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.40384615	210.7843137	301.4150943	510.4918033	NA	372.4590164	NA	NA	213.4228188	NA	mg kg-1	NA	total	NA	NA	Robinia pseudoacacia	NA	NA	NA	NA	NA	NA	NA	NA	6.703910472	29.28572518	53.62149342	120.9836066	NA	67.49380656	NA	NA	95.85366613	NA	mg kg-1	NA	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Robinia pseudoacacia
8913	Cicek	2004	Turkey	Tavsanli District	NA	NA	transfer-featured climate between continental climate and temperate climate	NA	10.6	564.6	NA	NA	3	NA	7.6	3.18	%	NA	NA	Clay	70	%	22.5	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.38461538	262.745098	380.6603774	784.9180328	NA	369.8360656	NA	NA	277.852349	NA	mg kg-1	NA	total	NA	NA	Robinia pseudoacacia	NA	NA	NA	NA	NA	NA	NA	NA	5.865921663	59.28572518	50.46728792	218.3606557	NA	47.64267629	NA	NA	111.2195192	NA	mg kg-1	NA	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Robinia pseudoacacia
8913	Cicek	2004	Turkey	Tavsanli District	NA	NA	transfer-featured climate between continental climate and temperate climate	NA	10.6	564.6	NA	NA	4	NA	7.6	3.18	%	NA	NA	Clay	70	%	22.5	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.82692308	254.9019608	401.8867925	705.2459016	NA	314.7540984	NA	NA	244.6308725	NA	mg kg-1	NA	total	NA	NA	Robinia pseudoacacia	NA	NA	NA	NA	NA	NA	NA	NA	4.189944045	46.42858233	49.41590213	200.6557377	NA	37.71713388	NA	NA	105.3658497	NA	mg kg-1	NA	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Robinia pseudoacacia
8913	Cicek	2004	Turkey	Tavsanli District	NA	NA	transfer-featured climate between continental climate and temperate climate	NA	10.6	564.6	NA	NA	5	NA	7.6	3.18	%	NA	NA	Clay	70	%	22.5	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.19230769	168.627451	161.3207547	365.9016393	NA	246.557377	NA	NA	114.7651007	NA	mg kg-1	NA	total	NA	NA	Robinia pseudoacacia	NA	NA	NA	NA	NA	NA	NA	NA	2.513966427	25.71428571	36.79908015	32.45901639	NA	16.873463	NA	NA	54.14635061	NA	mg kg-1	NA	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Robinia pseudoacacia
8913	Cicek	2004	Turkey	Tavsanli District	NA	NA	transfer-featured climate between continental climate and temperate climate	NA	10.6	564.6	NA	NA	6	NA	7.6	3.18	%	NA	NA	Clay	70	%	22.5	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.230769231	26.47058824	59.43396226	76.72131148	NA	72.13114754	NA	NA	48.32214765	NA	mg kg-1	NA	total	NA	NA	Robinia pseudoacacia	NA	NA	NA	NA	NA	NA	NA	NA	0.279328537	8.571428571	14.71964169	5.901639344	NA	12.90325512	NA	NA	5.853669484	NA	mg kg-1	NA	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Robinia pseudoacacia
8913	Cicek	2004	Turkey	Tavsanli District	NA	NA	transfer-featured climate between continental climate and temperate climate	NA	10.6	564.6	NA	NA	7	NA	7.6	3.18	%	NA	NA	Clay	70	%	22.5	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.538461538	12.74509804	15.56603774	20.6557377	NA	20.98360656	NA	NA	32.2147651	NA	mg kg-1	NA	total	NA	NA	Robinia pseudoacacia	NA	NA	NA	NA	NA	NA	NA	NA	0.209497202	2.142857143	0	2.950819672	NA	8.933001805	NA	NA	4.390243739	NA	mg kg-1	NA	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Robinia pseudoacacia
8913	Cicek	2004	Turkey	Tavsanli District	NA	NA	transfer-featured climate between continental climate and temperate climate	NA	10.6	564.6	NA	NA	1	NA	7.6	3.18	%	NA	NA	Clay	70	%	22.5	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.61538462	194.1176471	322.6415094	469.1803279	NA	364.5901639	NA	NA	196.3087248	NA	mg kg-1	NA	total	NA	NA	Quercus infectoria	NA	NA	NA	NA	NA	NA	NA	NA	6.564244605	21.42857143	49.41590213	159.3442623	NA	44.66500902	NA	NA	96.58536226	NA	mg kg-1	NA	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Quercus infectoria
8913	Cicek	2004	Turkey	Tavsanli District	NA	NA	transfer-featured climate between continental climate and temperate climate	NA	10.6	564.6	NA	NA	2	NA	7.6	3.18	%	NA	NA	Clay	70	%	22.5	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.40384615	210.7843137	301.4150943	510.4918033	NA	372.4590164	NA	NA	213.4228188	NA	mg kg-1	NA	total	NA	NA	Quercus infectoria	NA	NA	NA	NA	NA	NA	NA	NA	6.634079136	25.71428571	51.51867371	120.9836066	NA	70.47147383	NA	NA	92.19511852	NA	mg kg-1	NA	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Quercus infectoria
8913	Cicek	2004	Turkey	Tavsanli District	NA	NA	transfer-featured climate between continental climate and temperate climate	NA	10.6	564.6	NA	NA	3	NA	7.6	3.18	%	NA	NA	Clay	70	%	22.5	%	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.38461538	262.745098	380.6603774	784.9180328	NA	369.8360656	NA	NA	277.852349	NA	mg kg-1	NA	total	NA	NA	Quercus infectoria	NA	NA	NA	NA	NA	NA	NA	NA	6.00558753	45.71427482	50.46728792	209.5081967	NA	48.63526234	NA	NA	103.902424	NA	mg kg-1	NA	leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Quercus infectoria
