covidence#;author;year;country;location;latitude;longitude;climate;expe_t;mat (°C);map;map_units;soil;type;ph;oc;oc_units;om;om_units;texture;clay;clay_units;sand;sand_units;ec;ec_units;cec;cec_units;N;N_units;N_type;P;P_units;P_type;as_s;cd_s;cu_s;pb_s;zn_s;se_s;ni_s;co_s;mn_s;cr_s;hg_s;units_s;n_s;fraction_s;Bioavailable;sp;name;cultivar;p_density (ind./m2 or pots);ba_total;ba_stem;ba_leaf;br;units_b;as_ba;cd_ba;cu_ba;pb_ba;zn_ba;se_ba;ni_ba;co_ba;mn_ba;cr_ba;hg_ba;units_te_ba;n_te_ba;organs_ba;as_br;cd_br;cu_br;pb_br;zn_br;se_br;ni_br;co_br;mn_br;cr_br;hg_br;units_te_br;n_te_br;organs_br;as_ba_1;cd_ba_1;cu_ba_1;pb_ba_1_1;zn_ba_1;se_ba_1;ni_ba_1;co_ba_1;mn_ba_1;cr_ba_1;hg_ba_1;units_te_ba_1;n_te_ba_1;organs_ba_1;as_ba_2;cd_ba_2;cu_ba_2;pb_ba_2;zn_ba_2;se_ba_2;ni_ba_2;co_ba_2;mn_ba_2;cr_ba_2;hg_ba_2;units_te_ba_2;n_te_ba_2;organs_ba_2;as_ba_3;cd_ba_3;cu_ba_3;pb_ba_3;zn_ba_3;se_ba_3;ni_ba_3;co_ba_3;mn_ba_3;cr_ba_3;hg_ba_3;units_te_ba_3;n_te_ba_3;organs_ba_3;comments
4150;Chaabani ;2017;Tunisia;Fedj Lahdoum;"36°6'2.71""N";"8°50'8.02""E";Mediterranean;;;;;E1;;6.19;;;;;;;;;;1921;?S cm;;;;;;;;;;0;;2730.9;692.1;;;;;;;mg kg;1;Total;;Hoary mustard;Hirshfeldia incana ;;;;;;;;;0;;25.4;144.1;;;;;;;mg kg;1;Shoot ;;0;;11.7;46.9;;;;;;;mg kg;1;Root;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4150;Chaabani ;2017;Tunisia;Fedj Lahdoum;"36°6'2.71""N";"8°50'8.02""E";Mediterranean;;;;;E2;;6.72;;;;;;;;;;412;?S cm;;;;;;;;;;0;;2710.1;541.2;;;;;;;mg kg;1;Total;;Hoary mustard;Hirshfeldia incana ;;;;;;;;;0;;9.6;56.5;;;;;;;mg kg;1;Shoot ;;0;;6.2;30.4;;;;;;;mg kg;1;Root;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4150;Chaabani ;2017;Tunisia;Fedj Lahdoum;"36°6'2.71""N";"8°50'8.02""E";Mediterranean;;;;;E3;;6.69;;;;;;;;;;1061;?S cm;;;;;;;;;;3.1;;5184.5;3218.6;;;;;;;mg kg;1;Total;;Figwort;Scrofularia canina ;;;;;;;;;2.5;;5.4;24.1;;;;;;;mg kg;1;Shoot ;;0.9;;3.8;20.5;;;;;;;mg kg;1;Root;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4150;Chaabani ;2017;Tunisia;Fedj Lahdoum;"36°6'2.71""N";"8°50'8.02""E";Mediterranean;;;;;E4;;6.77;;;;;;;;;;1915;?S cm;;;;;;;;;;3.1;;3383.6;2582.6;;;;;;;mg kg;1;Total;;White mignonette;Reseda alba ;;;;;;;;;1.7;;4;124.2;;;;;;;mg kg;1;Shoot ;;0.9;;4.5;82.8;;;;;;;mg kg;1;Root;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4150;Chaabani ;2017;Tunisia;Fedj Lahdoum;"36°6'2.71""N";"8°50'8.02""E";Mediterranean;;;;;E5;;6.58;;;;;;;;;;696;?S cm;;;;;;;;;;0;;1365;859.9;;;;;;;mg kg;1;Total;;French honeysuckle;Hedysarum coronarium ;;;;;;;;;0;;3.4;85.1;;;;;;;mg kg;1;Shoot ;;0;;3;46.6;;;;;;;mg kg;1;Root;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4150;Chaabani ;2017;Tunisia;Fedj Lahdoum;"36°6'2.71""N";"8°50'8.02""E";Mediterranean;;;;;E5;;6.58;;;;;;;;;;696;?S cm;;;;;;;;;;0;;1365;859.9;;;;;;;mg kg;1;Total;;Kidney vetch;Anthyllis vulneraria;;;;;;;;;0;;11.7;115;;;;;;;mg kg;1;Shoot ;;0;;7.5;51.2;;;;;;;mg kg;1;Root;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4150;Chaabani ;2017;Tunisia;Fedj Lahdoum;"36°6'2.71""N";"8°50'8.02""E";Mediterranean;;;;;E5;;6.58;;;;;;;;;;696;?S cm;;;;;;;;;;0;;1365;859.9;;;;;;;mg kg;1;Total;;Kidney vetch;Anthyllis vulneraria ;;;;;;;;;0;;7.8;90.7;;;;;;;mg kg;1;Shoot ;;0;;17.8;64;;;;;;;mg kg;1;Root;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4150;Chaabani ;2017;Tunisia;Fedj Lahdoum;"36°6'2.71""N";"8°50'8.02""E";Mediterranean;;;;;E6;;6.72;;;;;;;;;;1127;?S cm;;;;;;;;;;3.1;;3597.1;2270.2;;;;;;;mg kg;1;Total;;Lady's bedstraw;Gallium verum ;;;;;;;;;0;;7.9;127.4;;;;;;;mg kg;1;Shoot ;;0.5;;12.6;268.2;;;;;;;mg kg;1;Root;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4150;Chaabani ;2017;Tunisia;Fedj Lahdoum;"36°6'2.71""N";"8°50'8.02""E";Mediterranean;;;;;E7;;6.69;;;;;;;;;;1151;?S cm;;;;;;;;;;5.1;;1841.6;2124.8;;;;;;;mg kg;1;Total;;Spurge flax;Daphné gnidium ;;;;;;;;;0.8;;2.9;77.4;;;;;;;mg kg;1;Shoot ;;1.3;;11.5;243.7;;;;;;;mg kg;1;Root;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4150;Chaabani ;2017;Tunisia;Fedj Lahdoum;"36°6'2.71""N";"8°50'8.02""E";Mediterranean;;;;;E8;;7.4;;;;;;;;;;1156;?S cm;;;;;;;;;;0;;4476.5;5613.3;;;;;;;mg kg;1;Total;;Moroccan grass;Ampelodesma mauritanien ;;;;;;;;;0;;8.5;96.3;;;;;;;mg kg;1;Shoot ;;0.8;;9;470.5;;;;;;;mg kg;1;Root;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
