user_supplied_name	submitted_name	matched_name2	score	implement	alternative	dupl
Allium sphaerocephalos subsp. sphaerocephalos	Allium sphaerocephalos subsp. sphaerocephalos	Allium sphaerocephalon subsp. sphaerocephalon	0.54	TRUE	Allium sphaerocephalon subsp. sphaerocephalon	FALSE
Allium sphaerocephalos subsp. sphaerocephalos	Allium sphaerocephalos subsp. sphaerocephalos	Allium sphaerocephalum subsp. sphaerocephalum	0.54	TRUE	Allium sphaerocephalon subsp. sphaerocephalon	FALSE
Anagalis monelli var. linifolia	Anagalis monelli var. linifolia	Anagallis monelli subsp. linifolia	0.54	TRUE	Anagallis monelli var. linifolia	FALSE
Anagalis monelli var. linifolia	Anagalis monelli var. linifolia	Anagallis monelli var. linifolia	0.54	TRUE	Anagallis monelli var. linifolia	FALSE
Alternenthera pungens	Alternenthera pungens	Alternanthera pungens	0.75	TRUE	Alternanthera pungens	FALSE
Baccharis pingraea fma. angustissima	Baccharis pingraea fma. angustissima	Baccharis	0.75	TRUE	Baccharis pingraea var. angustissima	FALSE
Poligonum aviculare	Poligonum aviculare	Polygonum aviculare	0.75	TRUE	Polygonum aviculare	FALSE
Piptatherum milliaceum	Piptatherum milliaceum	Piptatherum miliaceum	0.75	TRUE	Piptatherum miliaceum	FALSE
Eucalyptus camadulensis	Eucalyptus camadulensis	Eucalyptus camaldulensis	0.75	TRUE	Eucalyptus camaldulensis	FALSE
Chromolaena odoratum	Chromolaena odoratum	Chromolaena odorata	0.75	TRUE	Chromolaena odorata	FALSE
Imperata cylindica	Imperata cylindica	Imperata cylindrica	0.75	TRUE	Imperata cylindrica	FALSE
Dicranopteris dichodoma	Dicranopteris dichodoma	Dicranopteris dichotoma	0.75	TRUE	Dicranopteris dichotoma	FALSE
Artemisia capillaries	Artemisia capillaries	Artemisia capillaris	0.75	TRUE	Artemisia capillaris	FALSE
Azanza garkeana	Azanza garkeana	Azanza garckeana	0.75	TRUE	Azanza garckeana	FALSE
Commiphera glandulosa	Commiphera glandulosa	Commiphora glandulosa	0.75	TRUE	Commiphora glandulosa	FALSE
Dichrostachys cinereal	Dichrostachys cinereal	Dichrostachys cinerea	0.75	TRUE	Dichrostachys cinerea	FALSE
Grevia bicolor	Grevia bicolor	Grewia bicolor	0.75	TRUE	Grewia bicolor	FALSE
Trifolium triocephalum	Trifolium triocephalum	Trifolium eriocephalum	0.75	TRUE	Trifolium eriocephalum	FALSE
Trifolium triocephalum	Trifolium triocephalum	Trifolium trichocephalum	0.75	TRUE	Trifolium eriocephalum	FALSE
Potentila repens	Potentila repens	Potentilla repens	0.75	TRUE	Potentilla repens	FALSE
Adenocarpus complicates 	Adenocarpus complicates	Adenocarpus complicatus	0.75	TRUE	Adenocarpus complicatus	FALSE
Heteropogon conturtus	Heteropogon conturtus	Heteropogon contortus	0.75	TRUE	Heteropogon contortus	FALSE
Berberis lyceum  	Berberis lyceum	Berberis lycium	0.75	TRUE	Berberis lycium Royle	FALSE
Daphne mucronata  	Daphne mucronata 	Daphne	0.75	TRUE	Daphne mucronata	FALSE
Debregeasia salicifolia  	Debregeasia salicifolia 	Debregeasia	0.75	TRUE	Debregeasia salicifolia	FALSE
Fimbristylis dichotoma  	Fimbristylis dichotoma 	Fimbristylis	0.75	TRUE	Fimbristylis dichotoma	FALSE
Heteropogon contortus  	Heteropogon contortus 	Heteropogon	0.75	TRUE	Heteropogon contortus	FALSE
Indigofera gerardiana  	Indigofera gerardiana 	Indigofera	0.75	TRUE	Indigofera gerardiana	FALSE
Olea ferruginea  	Olea ferruginea 	Olea	0.75	TRUE	Olea ferruginea	FALSE
Sacharum griffithii	Sacharum griffithii	Saccharum griffithii	0.75	TRUE	Saccharum griffithii	FALSE
Rhazya stracta	Rhazya stracta	Rhazya stricta	0.75	TRUE	Rhazya stricta	FALSE
Isodon roguses	Isodon roguses	Isodon rugosus	0.75	TRUE	Isodon rugosus	FALSE
Xanthoxylem armatum	Xanthoxylem armatum	Zanthoxylum armatum	0.75	TRUE	Zanthoxylum armatum	FALSE
Cymbopgon jwarancusa	Cymbopgon jwarancusa	Cymbopogon jwarancusa	0.75	TRUE	Cymbopogon jwarancusa	FALSE
Cymbopgon jwarancusa	Cymbopgon jwarancusa	Cymbopogon iwarancusa	0.75	TRUE	Cymbopogon jwarancusa	FALSE
Tribulus terestris	Tribulus terestris	Tribulus terrestris	0.75	TRUE	Tribulus terrestris	FALSE
Eichhornia plantagineum	Eichhornia plantagineum	Eichhornia	0.75	TRUE	Echium plantagineum	FALSE
Olea europea  	Olea europea  	Olea europaea	0.75	TRUE	Olea europaea	FALSE
Dittrichia viscose	Dittrichia viscose	Dittrichia viscosa	0.75	TRUE	Dittrichia viscosa	FALSE
