user_supplied_name	submitted_name	matched_name2	score	implement	alternative	dupl
Rumex dentatus 	Rumex dentatus	Rumex dentatus	0.988			
Argemone mexicana 	Argemone mexicana	Argemone mexicana	0.988			
Ricinus communis 	Ricinus communis	Ricinus communis	0.988			
Aizoon hispanicum	Aizoon hispanicum	Aizoon hispanicum	0.988			
Emex spinosus	Emex spinosus	Emex	0.75			
Eryngium ilicifolium	Eryngium ilicifolium	Eryngium ilicifolium	0.988			
Herniaria cinerea	Herniaria cinerea	Herniaria cinerea	0.988			
Silene alba	Silene alba	Silene alba	0.988			
Galium corrudifolium	Galium corrudifolium	Galium corrudifolium	0.988			
Juniperus communis subsp. nana	Juniperus communis subsp. nana	Juniperus communis subsp. nana	0.999			
Juniperus communis subsp. nana	Juniperus communis subsp. nana	Juniperus communis var. nana	0.999			
Pilosella peleteriana	Pilosella peleteriana	Pilosella peleteriana	0.988			
Salix eleagnos	Salix eleagnos	Salix eleagnos	0.988			
Lactuca viminea subsp. Viminea	Lactuca viminea subsp. viminea	Lactuca viminea subsp. viminea	0.999			
Achillea millefolium subsp millefolium	Achillea millefolium subsp millefolium	Achillea millefolium subsp. millefolium	0.999			
Achillea millefolium subsp millefolium	Achillea millefolium subsp millefolium	Achillea millefolium var. millefolium	0.999			
Achillea millefolium subsp millefolium	Achillea millefolium subsp millefolium	Achillea millefolium fo. millefolium	0.999			
Leontodon taraxacoides subsp longirostris	Leontodon taraxacoides subsp longirostris	Leontodon taraxacoides subsp. longirostris	0.999			
Leontodon taraxacoides subsp longirostris	Leontodon taraxacoides subsp longirostris	Leontodon taraxacoides ssp. longirostris	0.999			
Logfia gallica	Logfia gallica	Logfia gallica	0.988			
Senecio gallicus	Senecio gallicus	Senecio gallicus	0.988			
Santolina semidentata	Santolina semidentata	Santolina semidentata	0.988			
Centaurea micrantha	Centaurea micrantha	Centaurea micrantha	0.988			
Logfia minima	Logfia minima	Logfia minima	0.988			
Hispidella hispanica	Hispidella hispanica	Hispidella hispanica	0.988			
Filago lutescens subsp. lutescens	Filago lutescens subsp. lutescens	Filago lutescens	0.988			
Lapsana communis subsp. communis	Lapsana communis subsp. communis	Lapsana communis subsp. communis	0.999			
Hieracium peleterianum subsp. ligericum	Hieracium peleterianum subsp. ligericum	Hieracium peleterianum subsp. ligericum	0.999			
Sanguisorba minor subsp. magnolii	Sanguisorba minor subsp. magnolii	Sanguisorba minor subsp. magnolii	0.999			
Sanguisorba minor subsp. magnolii	Sanguisorba minor subsp. magnolii	Sanguisorba minor ssp. magnolii	0.999			
Jasione crispa subsp. serpentinitica	Jasione crispa subsp. serpentinitica	Jasione crispa subsp. serpentinica	0.54			
Pteridium aquilinum subsp. aquilinum	Pteridium aquilinum subsp. aquilinum	Pteridium aquilinum subsp. aquilinum	0.999			
Pteridium aquilinum subsp. aquilinum	Pteridium aquilinum subsp. aquilinum	Pteridium aquilinum var. aquilinum	0.999			
Crataegus monogyna subsp. brevispina	Crataegus monogyna subsp. brevispina	Crataegus monogyna subsp. brevispina	0.999			
Crataegus monogyna subsp. brevispina	Crataegus monogyna subsp. brevispina	Crataegus monogyna var. brevispina	0.999			
Prunella vulgaris subsp. Vulgaris	Prunella vulgaris subsp. vulgaris	Prunella vulgaris subsp. vulgaris	0.999			
Prunella vulgaris subsp. Vulgaris	Prunella vulgaris subsp. vulgaris	Prunella vulgaris ssp. vulgaris	0.999			
Prunella vulgaris subsp. Vulgaris	Prunella vulgaris subsp. vulgaris	Prunella vulgaris var. vulgaris	0.999			
Prunella vulgaris subsp. Vulgaris	Prunella vulgaris subsp. vulgaris	Prunella vulgaris fo. vulgaris	0.999			
Lavandula stoechas subsp. sampaiana	Lavandula stoechas subsp. sampaiana	Lavandula stoechas subsp. sampaiana	0.999			
Teucrium scorodonia subsp. scorodonia	Teucrium scorodonia subsp. scorodonia	Teucrium scorodonia subsp. scorodonia	0.999			
Genista polyanthos subsp. hystrix	Genista polyanthos subsp. hystrix	Genista polyanthos subsp. hystrix	0.999			
Ononis spinosa subsp. antiquorum	Ononis spinosa subsp. antiquorum	Ononis spinosa subsp. antiquorum	0.999			
Ononis spinosa subsp. antiquorum	Ononis spinosa subsp. antiquorum	Ononis spinosa var. antiquorum	0.999			
Dorycnium pentaphyllum subsp. transmontanum	Dorycnium pentaphyllum subsp. transmontanum	Dorycnium pentaphyllum subsp. transmontanum	0.999			
Pisum sativum subsp. elatius	Pisum sativum subsp. elatius	Pisum sativum subsp. elatius	0.999			
Pisum sativum subsp. elatius	Pisum sativum subsp. elatius	Pisum sativum var. elatius	0.999			
Plantgo lanceolata	Plantgo lanceolata	Plantago lanceolata	0.75			
Plantago radicata subsp. radicata	Plantago radicata subsp. radicata	Plantago radicata	0.988			
Seseli peixotianum	Seseli peixotianum	Seseli peixoteanum	0.75			
Seseli peixotianum	Seseli peixotianum	Seseli peixotoanum	0.75			
Pimpinella villosa	Pimpinella villosa	Pimpinella villosa	0.988			
Eryngium tenue	Eryngium tenue	Eryngium tenue	0.988			
Daucus carota subsp. maritimus	Daucus carota subsp. maritimus	Daucus carota subsp. maritimus	0.999			
Daucus carota subsp. maritimus	Daucus carota subsp. maritimus	Daucus carota var. maritimus	0.999			
Foeniculum vulgare subsp. piperitum	Foeniculum vulgare subsp. piperitum	Foeniculum vulgare subsp. piperitum	0.999			
Foeniculum vulgare subsp. piperitum	Foeniculum vulgare subsp. piperitum	Foeniculum vulgare var. piperitum	0.999			
Geranium purpurem	Geranium purpurem	Geranium purpureum	0.75			
Anthyllis stoechas	Anthyllis stoechas	Anthyllis	0.75			
Trifolium repens subsp. repens	Trifolium repens subsp. repens	Trifolium repens subsp. repens	0.999			
Trifolium repens subsp. repens	Trifolium repens subsp. repens	Trifolium repens var. repens	0.999			
Trifolium repens subsp. repens	Trifolium repens subsp. repens	Trifolium repens fo. repens	0.999			
Trifolium glomeratum 	Trifolium glomeratum	Trifolium glomeratum	0.988			
Anthyllis sampaiana	Anthyllis sampaiana	Anthyllis sampaiana	0.988			
Sedum arenarium	Sedum arenarium	Sedum arenarium	0.988			
Sedum forsteranum	Sedum forsteranum	Sedum forsterianum	0.75			
Sedum tenuifolium	Sedum tenuifolium	Sedum tenuifolium	0.988			
Carlina corymbosa subsp. corymbosa	Carlina corymbosa subsp. corymbosa	Carlina corymbosa var. corymbosa	0.999			
Alyssum serpyllifolium subsp. lusitanicum	Alyssum serpyllifolium subsp. lusitanicum	Alyssum serpyllifolium subsp. lusitanicum	0.999			
Portulaca oleraceae subsp. oleraceae	Portulaca oleraceae subsp. oleraceae	Portulaca oleracea subsp. oleracea	0.54			
Portulaca oleraceae subsp. oleraceae	Portulaca oleraceae subsp. oleraceae	Portulaca oleracea var. oleracea	0.54			
Chenopodium album subsp. album	Chenopodium album subsp. album	Chenopodium album subsp. album	0.999			
Chenopodium album subsp. album	Chenopodium album subsp. album	Chenopodium album var. album	0.999			
Digitalis purpurea subsp. purpurea	Digitalis purpurea subsp. purpurea	Digitalis purpurea subsp. purpurea	0.999			
Digitalis purpurea subsp. purpurea	Digitalis purpurea subsp. purpurea	Digitalis purpurea ssp. purpurea	0.999			
Digitalis purpurea subsp. purpurea	Digitalis purpurea subsp. purpurea	Digitalis purpurea var. purpurea	0.999			
Centaurium erythraea subsp. majus	Centaurium erythraea subsp. majus	Centaurium erythraea subsp. majus	0.999			
Centaurium erythraea subsp. majus	Centaurium erythraea subsp. majus	Centaurium erythraea var. majus	0.999			
Centranthus calcitrapae subsp. calcitrapae	Centranthus calcitrapae subsp. calcitrapae	Centranthus calcitrapae subsp. calcitrapae	0.999			
Ulmus procera	Ulmus procera	Ulmus procera	0.988			
Festuca pseudotricophylla	Festuca pseudotricophylla	Festuca pseudotrichophylla	0.75			
