user_supplied_name	submitted_name	matched_name2	score	implement	alternative	dupl
Carlina acaulia subsp caulescens	Carlina acaulia subsp caulescens	Carlina acaulis f. caulescens	0.54	FALSE	Carlina acaulis subsp. caulescens	TRUE
Cladanthus arabicus	Cladanthus arabicus	Cladanthus arabicus	0.988	TRUE	Cladanthus arabicus	FALSE
Echinops spinosus	Echinops spinosus	Echinops spinosus	0.988	TRUE	Echinops spinosus	FALSE
Leontodon hispidilus	Leontodon hispidilus	Leontodon hispidulus	0.75	FALSE	Leontodon hispidus	TRUE
Leontodon hispidilus	Leontodon hispidilus	Leontodon hispidus	0.75	TRUE	Leontodon hispidus	FALSE
Leontodon hispidilus	Leontodon hispidilus	Leontodon hispanicus	0.75	FALSE	Leontodon hispidus	TRUE
Origanum vulgare subsp.hirtum	Origanum vulgare subsp.hirtum	Origanum vulgare var. hirtum	0.999	FALSE	Origanum vulgare subsp. hirtum	TRUE
Origanum vulgare subsp.hirtum	Origanum vulgare subsp.hirtum	Origanum vulgare subsp. hirtum	0.999	TRUE	Origanum vulgare subsp. hirtum	FALSE
Dolichos lablab	Dolichos lablab	Dolichos lablab	0.988	TRUE	Dolichos lablab	FALSE
Duranta repens	Duranta repens	Duranta repens	0.988	TRUE	Duranta repens	FALSE
Malva rotundifolia	Malva rotundifolia	Malva rotundifolia	0.988	TRUE	Malva rotundifolia	FALSE
Solanum nigrum	Solanum nigrum	Solanum nigrum	0.988	TRUE	Solanum nigrum	FALSE
Festuca rubrics	Festuca rubrics	Festuca	0.75	TRUE	Festuca rubra	FALSE
Amaranthus paniculatus	Amaranthus paniculatus	Amaranthus paniculatus	0.988	TRUE	Amaranthus paniculatus	FALSE
Pinus duranguensis	Pinus duranguensis	Pinus durangensis	0.75	TRUE	Pinus durangensis	FALSE
Fraximus excelsior	Fraximus excelsior	Fraxinus excelsior	0.75	TRUE	Fraxinus excelsior	FALSE
Sorbus mougeotii	Sorbus mougeotii	Sorbus mougeotii	0.988	TRUE	Sorbus mougeotii	FALSE
Rapahanus sativus	Rapahanus sativus	Raphanus sativus	0.75	TRUE	Raphanus sativus	FALSE
Tilia	Tilia	Tilia	0.75	FALSE	Tilia	FALSE
Betula pendula 	Betula pendula	Betula pendula	0.988	TRUE	Betula pendula	FALSE
Microchloa altera	Microchloa altera	Microchloa altera	0.988	TRUE	Microchloa altera	FALSE
Rendlia altera 	Rendlia altera	Rendlia altera	0.988	TRUE	Rendlia altera	FALSE
Alnus viridis	Alnus viridis	Alnus viridis	0.988	TRUE	Alnus viridis	FALSE
Sorbus aucuparia 	Sorbus aucuparia	Sorbus aucuparia	0.988	TRUE	Sorbus aucuparia	FALSE
Atriplex leucoclada	Atriplex leucoclada	Atriplex leucoclada	0.988	TRUE	Atriplex leucoclada	FALSE
Gingko biloba	Gingko biloba	Gingko	0.75	TRUE	Gingko biloba	FALSE
Lycopersicum esculentum	Lycopersicum esculentum	Lycopersicum esculentum	0.988	TRUE	Lycopersicum esculentum	FALSE
Solanum melongena 	Solanum melongena	Solanum melongena	0.988	TRUE	Solanum melongena	FALSE
Brassica Chinensis	Brassica chinensis	Brassica chinensis	0.988	TRUE	Brassica chinensis	FALSE
Lactuca sativ	Lactuca sativ	Lactuca sativa	0.75	TRUE	Lactuca sativa	FALSE
Brassica campestr	Brassica campestr	Brassica campestris	0.75	TRUE	Brassica campestris	FALSE
Suaeda nigra	Suaeda nigra	Suaeda nigra	0.988	TRUE	Suaeda nigra	FALSE
Olea europea	Olea europea	Olea europaea	0.75	TRUE	Olea europaea	FALSE
Miscanthus floridulus 	Miscanthus floridulus	Miscanthus floridulus	0.988	TRUE	Miscanthus floridulus	FALSE
Conyza canadensis	Conyza canadensis	Conyza canadensis	0.988	TRUE	Conyza canadensis	FALSE
Cyclosorus acuminatus	Cyclosorus acuminatus	Cyclosorus acuminatus	0.988	TRUE	Cyclosorus acuminatus	FALSE
Polygonum capitatum	Polygonum capitatum	Polygonum capitatum	0.988	TRUE	Polygonum capitatum	FALSE
Ficus tikoua	Ficus tikoua	Ficus tikoua	0.988	TRUE	Ficus tikoua	FALSE
Gonostegia hirta	Gonostegia hirta	Gonostegia hirta	0.988	TRUE	Gonostegia hirta	FALSE
Selaginella uncinata	Selaginella uncinata	Selaginella uncinata	0.988	TRUE	Selaginella uncinata	FALSE
Microsorium fortunei	Microsorium fortunei	Microsorium fortunei	0.988	TRUE	Microsorium fortunei	FALSE
