user_supplied_name	submitted_name	matched_name2	score	implement	alternative	dupl
Olea europea	Olea europea	Olea europaea	0.75			
Miscanthus floridulus 	Miscanthus floridulus	Miscanthus floridulus	0.988			
Conyza canadensis	Conyza canadensis	Conyza canadensis	0.988			
Cyclosorus acuminatus	Cyclosorus acuminatus	Cyclosorus acuminatus	0.988			
Polygonum capitatum	Polygonum capitatum	Polygonum capitatum	0.988			
Ficus tikoua	Ficus tikoua	Ficus tikoua	0.988			
Gonostegia hirta	Gonostegia hirta	Gonostegia hirta	0.988			
Selaginella uncinata	Selaginella uncinata	Selaginella uncinata	0.988			
Microsorium fortunei	Microsorium fortunei	Microsorium fortunei	0.988			
Sedum emarginatum	Sedum emarginatum	Sedum emarginatum	0.988			
Arachniodes speciosa	Arachniodes speciosa	Arachniodes speciosa	0.988			
Artemisia hedinii	Artemisia hedinii	Artemisia hedinii	0.988			
Chenopodium serotinum	Chenopodium serotinum	Chenopodium serotinum	0.988			
Conyza bonariensis	Conyza bonariensis	Conyza bonariensis	0.988			
Conyza japonica	Conyza japonica	Conyza japonica	0.988			
Cynanchum bungei	Cynanchum bungei	Cynanchum bungei	0.988			
Dendranthema indicum	Dendranthema indicum	Dendranthema indicum	0.988			
Dicranostigma leptopodum	Dicranostigma leptopodum	Dicranostigma leptopodum	0.988			
Humulus japonicus	Humulus japonicus	Humulus japonicus	0.988			
Mentha haplocalyx	Mentha haplocalyx	Mentha haplocalyx	0.988			
Pharbitis nil	Pharbitis nil	Pharbitis nil	0.988			
Roegneria kamoji	Roegneria kamoji	Roegneria kamoji	0.988			
Viola verecunda	Viola verecunda	Viola verecunda	0.988			
Chrysanthemum coronarium	Chrysanthemum coronarium	Chrysanthemum coronarium	0.988			
Fetuca arundinacea	Fetuca arundinacea	Festuca arundinacea	0.75			
Chenopodium ambrosioides	Chenopodium ambrosioides	Chenopodium ambrosioides	0.988			
Sambucus chinensis	Sambucus chinensis	Sambucus chinensis	0.988			
Helianthus tuberosus 	Helianthus tuberosus	Helianthus tuberosus	0.988			
Aster baccharoides	Aster baccharoides	Aster baccharoides	0.988			
Fagopyrum dibotrys	Fagopyrum dibotrys	Fagopyrum dibotrys	0.988			
Patrinia villosa	Patrinia villosa	Patrinia villosa	0.988			
Eupatorium coelestinum	Eupatorium coelestinum	Eupatorium coelestinum	0.988			
Pterocypsela indica	Pterocypsela indica	Pterocypsela indica	0.988			
Polygonum lapathifolium	Polygonum lapathifolium	Polygonum lapathifolium	0.988			
Neyraudia reynaudian	Neyraudia reynaudian	Neyraudia reynaudiana	0.75			
Vetiveria zizanioides	Vetiveria zizanioides	Vetiveria zizanioides	0.988			
Pinus pallasiana	Pinus pallasiana	Pinus pallasiana	0.988			
Arachishypogaea	NA	NA	NA			
Lycopersiconesculantum	NA	NA	NA			
Setariaplicata	NA	NA	NA			
